class,crime,zoned,industrial,charles,nitricOxide,rooms,age,commute,roads,tax,schools,minority,lstat
0-10K,20.0849,0,18.1,0,0.7,4.368,91.199997,1.4395,24,666,20.200001,285.829987,30.629999
10-20K,0.17004,12.5,7.87,0,0.524,6.004,85.900002,6.5921,5,311,15.2,386.709991,17.1
20-30K,0.00632,18,2.31,0,0.538,6.575,65.199997,4.09,1,296,15.3,396.899994,4.98
20-30K,0.02731,0,7.07,0,0.469,6.421,78.900002,4.9671,2,242,17.799999,396.899994,9.14
30-40K,0.02729,0,7.07,0,0.469,7.185,61.099998,4.9671,2,242,17.799999,392.829987,4.03
40-50K,0.08187,0,2.89,0,0.445,7.82,36.900002,3.4952,2,276,18,393.529999,3.57
30-40K,0.03237,0,2.18,0,0.458,6.998,45.799999,6.0622,3,222,18.700001,394.630005,2.94
30-40K,0.06905,0,2.18,0,0.458,7.147,54.200001,6.0622,3,222,18.700001,396.899994,5.33
20-30K,0.02985,0,2.18,0,0.458,6.43,58.700001,6.0622,3,222,18.700001,394.119995,5.21
20-30K,0.08829,12.5,7.87,0,0.524,6.012,66.599998,5.5605,5,311,15.2,395.600006,12.43
20-30K,0.14455,12.5,7.87,0,0.524,6.172,96.099998,5.9505,5,311,15.2,396.899994,19.15
10-20K,0.21124,12.5,7.87,0,0.524,5.631,100,6.0821,5,311,15.2,386.630005,29.93
10-20K,0.22489,12.5,7.87,0,0.524,6.377,94.300003,6.3467,5,311,15.2,392.519989,20.450001
10-20K,0.11747,12.5,7.87,0,0.524,6.009,82.900002,6.2267,5,311,15.2,396.899994,13.27
20-30K,0.09378,12.5,7.87,0,0.524,5.889,39,5.4509,5,311,15.2,390.5,15.71
20-30K,0.62976,0,8.14,0,0.538,5.949,61.799999,4.7075,4,307,21,396.899994,8.26
10-20K,0.63796,0,8.14,0,0.538,6.096,84.5,4.4619,4,307,21,380.019989,10.26
10-20K,0.62739,0,8.14,0,0.538,5.834,56.5,4.4986,4,307,21,395.619995,8.47
20-30K,1.05393,0,8.14,0,0.538,5.935,29.299999,4.4986,4,307,21,386.850006,6.58
10-20K,0.7842,0,8.14,0,0.538,5.99,81.699997,4.2579,4,307,21,386.75,14.67
20-30K,0.80271,0,8.14,0,0.538,5.456,36.599998,3.7965,4,307,21,288.98999,11.69
10-20K,0.7258,0,8.14,0,0.538,5.727,69.5,3.7965,4,307,21,390.950012,11.28
10-20K,1.25179,0,8.14,0,0.538,5.57,98.099998,3.7979,4,307,21,376.570007,21.02
10-20K,0.85204,0,8.14,0,0.538,5.965,89.199997,4.0123,4,307,21,392.529999,13.83
10-20K,1.23247,0,8.14,0,0.538,6.142,91.699997,3.9769,4,307,21,396.899994,18.719999
10-20K,0.98843,0,8.14,0,0.538,5.813,100,4.0952,4,307,21,394.540009,19.879999
10-20K,0.75026,0,8.14,0,0.538,5.924,94.099998,4.3996,4,307,21,394.329987,16.299999
10-20K,0.84054,0,8.14,0,0.538,5.599,85.699997,4.4546,4,307,21,303.420013,16.51
10-20K,0.67191,0,8.14,0,0.538,5.813,90.300003,4.682,4,307,21,376.880005,14.81
10-20K,0.95577,0,8.14,0,0.538,6.047,88.800003,4.4534,4,307,21,306.380005,17.280001
10-20K,0.77299,0,8.14,0,0.538,6.495,94.400002,4.4547,4,307,21,387.940002,12.8
20-30K,1.00245,0,8.14,0,0.538,6.674,87.300003,4.239,4,307,21,380.230011,11.98
10-20K,1.13081,0,8.14,0,0.538,5.713,94.099998,4.233,4,307,21,360.170013,22.6
10-20K,1.35472,0,8.14,0,0.538,6.072,100,4.175,4,307,21,376.730011,13.04
10-20K,1.38799,0,8.14,0,0.538,5.95,82,3.99,4,307,21,232.600006,27.709999
10-20K,1.15172,0,8.14,0,0.538,5.701,95,3.7872,4,307,21,358.769989,18.35
10-20K,1.61282,0,8.14,0,0.538,6.096,96.900002,3.7598,4,307,21,248.309998,20.34
10-20K,0.06417,0,5.96,0,0.499,5.933,68.199997,3.3603,5,279,19.200001,396.899994,9.68
20-30K,0.09744,0,5.96,0,0.499,5.841,61.400002,3.3779,5,279,19.200001,377.559998,11.41
20-30K,0.08014,0,5.96,0,0.499,5.85,41.5,3.9342,5,279,19.200001,396.899994,8.77
20-30K,0.17505,0,5.96,0,0.499,5.966,30.200001,3.8473,5,279,19.200001,393.429993,10.13
30-40K,0.02763,75,2.95,0,0.428,6.595,21.799999,5.4011,3,252,18.299999,395.630005,4.32
30-40K,0.03359,75,2.95,0,0.428,7.024,15.8,5.4011,3,252,18.299999,395.619995,1.98
20-30K,0.12744,0,6.91,0,0.448,6.77,2.9,5.7209,3,233,17.9,385.410004,4.84
20-30K,0.1415,0,6.91,0,0.448,6.169,6.6,5.7209,3,233,17.9,383.369995,5.81
20-30K,0.15936,0,6.91,0,0.448,6.211,6.5,5.7209,3,233,17.9,394.459991,7.44
20-30K,0.12269,0,6.91,0,0.448,6.069,40,5.7209,3,233,17.9,389.390015,9.55
10-20K,0.17142,0,6.91,0,0.448,5.682,33.799999,5.1004,3,233,17.9,396.899994,10.21
20-30K,0.18836,0,6.91,0,0.448,5.786,33.299999,5.1004,3,233,17.9,396.899994,14.15
10-20K,0.22927,0,6.91,0,0.448,6.03,85.5,5.6894,3,233,17.9,392.73999,18.799999
10-20K,0.25387,0,6.91,0,0.448,5.399,95.300003,5.87,3,233,17.9,396.899994,30.809999
10-20K,0.21977,0,6.91,0,0.448,5.602,62,6.0877,3,233,17.9,396.899994,16.200001
10-20K,0.08873,21,5.64,0,0.439,5.963,45.700001,6.8147,4,243,16.799999,395.559998,13.45
20-30K,0.04337,21,5.64,0,0.439,6.115,63,6.8147,4,243,16.799999,393.970001,9.43
20-30K,0.0536,21,5.64,0,0.439,6.511,21.1,6.8147,4,243,16.799999,396.899994,5.28
20-30K,0.04981,21,5.64,0,0.439,5.998,21.4,6.8147,4,243,16.799999,396.899994,8.43
10-20K,0.0136,75,4,0,0.41,5.888,47.599998,7.3197,3,469,21.1,396.899994,14.8
30-40K,0.01311,90,1.22,0,0.403,7.249,21.9,8.6966,5,226,17.9,395.929993,4.81
20-30K,0.02055,85,0.74,0,0.41,6.383,35.700001,9.1876,2,313,17.299999,396.899994,5.77
30-40K,0.01432,100,1.32,0,0.411,6.816,40.5,8.3248,5,256,15.1,392.899994,3.95
20-30K,0.15445,25,5.13,0,0.453,6.145,29.200001,7.8148,8,284,19.700001,390.679993,6.86
10-20K,0.10328,25,5.13,0,0.453,5.927,47.200001,6.932,8,284,19.700001,396.899994,9.22
10-20K,0.14932,25,5.13,0,0.453,5.741,66.199997,7.2254,8,284,19.700001,395.109985,13.15
10-20K,0.17171,25,5.13,0,0.453,5.966,93.400002,6.8185,8,284,19.700001,378.079987,14.44
20-30K,0.11027,25,5.13,0,0.453,6.456,67.800003,7.2255,8,284,19.700001,396.899994,6.73
20-30K,0.1265,25,5.13,0,0.453,6.762,43.400002,7.9809,8,284,19.700001,395.579987,9.5
30-40K,0.01951,17.5,1.38,0,0.4161,7.104,59.5,9.2229,3,216,18.6,393.23999,8.05
20-30K,0.03584,80,3.37,0,0.398,6.29,17.799999,6.6115,4,337,16.1,396.899994,4.67
10-20K,0.04379,80,3.37,0,0.398,5.787,31.1,6.6115,4,337,16.1,396.899994,10.24
20-30K,0.05789,12.5,6.07,0,0.409,5.878,21.4,6.498,4,345,18.9,396.209991,8.1
10-20K,0.13554,12.5,6.07,0,0.409,5.594,36.799999,6.498,4,345,18.9,396.899994,13.09
20-30K,0.12816,12.5,6.07,0,0.409,5.885,33,6.498,4,345,18.9,396.899994,8.79
20-30K,0.08826,0,10.81,0,0.413,6.417,6.6,5.2873,4,305,19.200001,383.730011,6.72
20-30K,0.15876,0,10.81,0,0.413,5.961,17.5,5.2873,4,305,19.200001,376.940002,9.88
20-30K,0.09164,0,10.81,0,0.413,6.065,7.8,5.2873,4,305,19.200001,390.910004,5.52
20-30K,0.19539,0,10.81,0,0.413,6.245,6.2,5.2873,4,305,19.200001,377.170013,7.54
20-30K,0.07896,0,12.83,0,0.437,6.273,6,4.2515,5,398,18.700001,394.920013,6.78
20-30K,0.09512,0,12.83,0,0.437,6.286,45,4.5026,5,398,18.700001,383.230011,8.94
20-30K,0.10153,0,12.83,0,0.437,6.279,74.5,4.0522,5,398,18.700001,373.660004,11.97
20-30K,0.08707,0,12.83,0,0.437,6.14,45.799999,4.0905,5,398,18.700001,386.959991,10.27
20-30K,0.05646,0,12.83,0,0.437,6.232,53.700001,5.0141,5,398,18.700001,386.399994,12.34
20-30K,0.08387,0,12.83,0,0.437,5.874,36.599998,4.5026,5,398,18.700001,396.059998,9.1
20-30K,0.04113,25,4.86,0,0.426,6.727,33.5,5.4007,4,281,19,396.899994,5.29
20-30K,0.04462,25,4.86,0,0.426,6.619,70.400002,5.4007,4,281,19,395.630005,7.22
20-30K,0.03659,25,4.86,0,0.426,6.302,32.200001,5.4007,4,281,19,396.899994,6.72
20-30K,0.03551,25,4.86,0,0.426,6.167,46.700001,5.4007,4,281,19,390.640015,7.51
20-30K,0.05059,0,4.49,0,0.449,6.389,48,4.7794,3,247,18.5,396.899994,9.62
20-30K,0.05735,0,4.49,0,0.449,6.63,56.099998,4.4377,3,247,18.5,392.299988,6.53
20-30K,0.05188,0,4.49,0,0.449,6.015,45.099998,4.4272,3,247,18.5,395.98999,12.86
20-30K,0.07151,0,4.49,0,0.449,6.121,56.799999,3.7476,3,247,18.5,395.149994,8.44
20-30K,0.0566,0,3.41,0,0.489,7.007,86.300003,3.4217,2,270,17.799999,396.899994,5.5
20-30K,0.05302,0,3.41,0,0.489,7.079,63.099998,3.4145,2,270,17.799999,396.059998,5.7
20-30K,0.04684,0,3.41,0,0.489,6.417,66.099998,3.0923,2,270,17.799999,392.179993,8.81
20-30K,0.03932,0,3.41,0,0.489,6.405,73.900002,3.0921,2,270,17.799999,393.549988,8.2
20-30K,0.04203,28,15.04,0,0.464,6.442,53.599998,3.6659,4,270,18.200001,395.01001,8.16
20-30K,0.02875,28,15.04,0,0.464,6.211,28.9,3.6659,4,270,18.200001,396.329987,6.21
20-30K,0.04294,28,15.04,0,0.464,6.249,77.300003,3.615,4,270,18.200001,396.899994,10.59
20-30K,0.12204,0,2.89,0,0.445,6.625,57.799999,3.4952,2,276,18,357.980011,6.65
20-30K,0.11504,0,2.89,0,0.445,6.163,69.599998,3.4952,2,276,18,391.829987,11.34
30-40K,0.12083,0,2.89,0,0.445,8.069,76,3.4952,2,276,18,396.899994,4.21
30-40K,0.0686,0,2.89,0,0.445,7.416,62.5,3.4952,2,276,18,396.899994,6.19
20-30K,0.14866,0,8.56,0,0.52,6.727,79.900002,2.7778,5,384,20.9,394.76001,9.42
20-30K,0.11432,0,8.56,0,0.52,6.781,71.300003,2.8561,5,384,20.9,395.579987,7.67
10-20K,0.22876,0,8.56,0,0.52,6.405,85.400002,2.7147,5,384,20.9,70.800003,10.63
10-20K,0.21161,0,8.56,0,0.52,6.137,87.400002,2.7147,5,384,20.9,394.470001,13.44
20-30K,0.1396,0,8.56,0,0.52,6.167,90,2.421,5,384,20.9,392.690002,12.33
10-20K,0.13262,0,8.56,0,0.52,5.851,96.699997,2.1069,5,384,20.9,394.049988,16.469999
10-20K,0.1712,0,8.56,0,0.52,5.836,91.900002,2.211,5,384,20.9,395.670013,18.66
20-30K,0.13117,0,8.56,0,0.52,6.127,85.199997,2.1224,5,384,20.9,387.690002,14.09
10-20K,0.12802,0,8.56,0,0.52,6.474,97.099998,2.4329,5,384,20.9,395.23999,12.27
10-20K,0.26363,0,8.56,0,0.52,6.229,91.199997,2.5451,5,384,20.9,391.230011,15.55
20-30K,0.10793,0,8.56,0,0.52,6.195,54.400002,2.7778,5,384,20.9,393.48999,13
20-30K,0.10084,0,10.01,0,0.547,6.715,81.599998,2.6775,6,432,17.799999,395.589996,10.16
10-20K,0.12329,0,10.01,0,0.547,5.913,92.900002,2.3534,6,432,17.799999,394.950012,16.209999
10-20K,0.22212,0,10.01,0,0.547,6.092,95.400002,2.548,6,432,17.799999,396.899994,17.09
10-20K,0.14231,0,10.01,0,0.547,6.254,84.199997,2.2565,6,432,17.799999,388.73999,10.45
10-20K,0.17134,0,10.01,0,0.547,5.928,88.199997,2.4631,6,432,17.799999,344.910004,15.76
20-30K,0.13158,0,10.01,0,0.547,6.176,72.5,2.7301,6,432,17.799999,393.299988,12.04
10-20K,0.15098,0,10.01,0,0.547,6.021,82.599998,2.7474,6,432,17.799999,394.51001,10.3
20-30K,0.13058,0,10.01,0,0.547,5.872,73.099998,2.4775,6,432,17.799999,338.630005,15.37
10-20K,0.14476,0,10.01,0,0.547,5.731,65.199997,2.7592,6,432,17.799999,391.5,13.61
20-30K,0.06899,0,25.65,0,0.581,5.87,69.699997,2.2577,2,188,19.1,389.149994,14.37
20-30K,0.07165,0,25.65,0,0.581,6.004,84.099998,2.1974,2,188,19.1,377.670013,14.27
20-30K,0.09299,0,25.65,0,0.581,5.961,92.900002,2.0869,2,188,19.1,378.089996,17.93
10-20K,0.15038,0,25.65,0,0.581,5.856,97,1.9444,2,188,19.1,370.309998,25.41
10-20K,0.09849,0,25.65,0,0.581,5.879,95.800003,2.0063,2,188,19.1,379.380005,17.58
20-30K,0.16902,0,25.65,0,0.581,5.986,88.400002,1.9929,2,188,19.1,385.019989,14.81
10-20K,0.38735,0,25.65,0,0.581,5.613,95.599998,1.7572,2,188,19.1,359.290009,27.26
10-20K,0.25915,0,21.889999,0,0.624,5.693,96,1.7883,4,437,21.200001,392.109985,17.190001
10-20K,0.32543,0,21.889999,0,0.624,6.431,98.800003,1.8125,4,437,21.200001,396.899994,15.39
10-20K,0.88125,0,21.889999,0,0.624,5.637,94.699997,1.9799,4,437,21.200001,396.899994,18.34
10-20K,0.34006,0,21.889999,0,0.624,6.458,98.900002,2.1185,4,437,21.200001,395.040009,12.6
10-20K,1.19294,0,21.889999,0,0.624,6.326,97.699997,2.271,4,437,21.200001,396.899994,12.26
20-30K,0.59005,0,21.889999,0,0.624,6.372,97.900002,2.3274,4,437,21.200001,385.76001,11.12
10-20K,0.32982,0,21.889999,0,0.624,5.822,95.400002,2.4699,4,437,21.200001,388.690002,15.03
10-20K,0.97617,0,21.889999,0,0.624,5.757,98.400002,2.346,4,437,21.200001,262.76001,17.309999
10-20K,0.55778,0,21.889999,0,0.624,6.335,98.199997,2.1107,4,437,21.200001,394.670013,16.959999
10-20K,0.32264,0,21.889999,0,0.624,5.942,93.5,1.9669,4,437,21.200001,378.25,16.9
10-20K,0.35233,0,21.889999,0,0.624,6.454,98.400002,1.8498,4,437,21.200001,394.079987,14.59
10-20K,0.2498,0,21.889999,0,0.624,5.857,98.199997,1.6686,4,437,21.200001,392.040009,21.32
10-20K,0.54452,0,21.889999,0,0.624,6.151,97.900002,1.6687,4,437,21.200001,396.899994,18.459999
10-20K,0.2909,0,21.889999,0,0.624,6.174,93.599998,1.6119,4,437,21.200001,388.079987,24.16
10-20K,1.62864,0,21.889999,0,0.624,5.019,100,1.4394,4,437,21.200001,396.899994,34.41
10-20K,3.32105,0,19.58,1,0.871,5.403,100,1.3216,5,403,14.7,396.899994,26.82
10-20K,4.0974,0,19.58,0,0.871,5.468,100,1.4118,5,403,14.7,396.899994,26.42
10-20K,2.77974,0,19.58,0,0.871,4.903,97.800003,1.3459,5,403,14.7,396.899994,29.290001
10-20K,2.37934,0,19.58,0,0.871,6.13,100,1.4191,5,403,14.7,172.910004,27.799999
10-20K,2.15505,0,19.58,0,0.871,5.628,100,1.5166,5,403,14.7,169.270004,16.65
10-20K,2.36862,0,19.58,0,0.871,4.926,95.699997,1.4608,5,403,14.7,391.709991,29.530001
10-20K,2.33099,0,19.58,0,0.871,5.186,93.800003,1.5296,5,403,14.7,356.98999,28.32
10-20K,2.73397,0,19.58,0,0.871,5.597,94.900002,1.5257,5,403,14.7,351.850006,21.450001
20-30K,1.6566,0,19.58,0,0.871,6.122,97.300003,1.618,5,403,14.7,372.799988,14.1
10-20K,1.49632,0,19.58,0,0.871,5.404,100,1.5916,5,403,14.7,341.600006,13.28
10-20K,1.12658,0,19.58,1,0.871,5.012,88,1.6102,5,403,14.7,343.279999,12.12
10-20K,2.14918,0,19.58,0,0.871,5.709,98.5,1.6232,5,403,14.7,261.950012,15.79
10-20K,1.41385,0,19.58,1,0.871,6.129,96,1.7494,5,403,14.7,321.019989,15.12
10-20K,3.53501,0,19.58,1,0.871,6.152,82.599998,1.7455,5,403,14.7,88.010002,15.02
10-20K,2.44668,0,19.58,0,0.871,5.272,94,1.7364,5,403,14.7,88.629997,16.139999
40-50K,1.22358,0,19.58,0,0.605,6.943,97.400002,1.8773,5,403,14.7,363.429993,4.59
20-30K,1.34284,0,19.58,0,0.605,6.066,100,1.7573,5,403,14.7,353.890015,6.43
20-30K,1.42502,0,19.58,0,0.871,6.51,100,1.7659,5,403,14.7,364.309998,7.39
20-30K,1.27346,0,19.58,1,0.605,6.25,92.599998,1.7984,5,403,14.7,338.920013,5.5
50-60K,1.46336,0,19.58,0,0.605,7.489,90.800003,1.9709,5,403,14.7,374.429993,1.73
50-60K,1.83377,0,19.58,1,0.605,7.802,98.199997,2.0407,5,403,14.7,389.609985,1.92
50-60K,1.51902,0,19.58,1,0.605,8.375,93.900002,2.162,5,403,14.7,388.450012,3.32
20-30K,2.24236,0,19.58,0,0.605,5.854,91.800003,2.422,5,403,14.7,395.109985,11.64
20-30K,2.924,0,19.58,0,0.605,6.101,93,2.2834,5,403,14.7,240.160004,9.81
