124.54409,51.29135,Centroid,zoned,commute,charles
168.64821,51.29132,Centroid,charles,commute,minority
185.14407,93.98831,Centroid,zoned,commute,minority
241.69882,66.57898,Centroid,industrial,charles,age
395.06223,114.618256,Centroid,crime,roads,industrial
394.83572,113.19052,crime,roads,industrial
181.5243,50.75406,charles,commute,minority
167.98308,58.071228,charles,commute,minority
141.91281,34.554108,zoned,commute,charles
139.27756,40.919495,zoned,commute,charles
155.08864,56.685425,charles,commute,minority
125.23119,42.44873,zoned,commute,charles
126.456055,39.45761,zoned,commute,charles
127.28738,37.77716,zoned,commute,charles
178.01952,58.024567,charles,commute,minority
182.6229,47.37677,charles,commute,minority
183.95657,45.265656,charles,commute,minority
182.59064,47.835358,charles,commute,minority
180.47374,52.278534,charles,commute,minority
174.09781,67.51245,charles,commute,minority
176.79648,54.06183,charles,commute,minority
181.18285,45.394623,charles,commute,minority
176.05156,55.884552,charles,commute,minority
172.27403,65.306244,charles,commute,minority
180.5015,46.43396,charles,commute,minority
178.44992,59.352325,charles,commute,minority
178.34825,51.004944,charles,commute,minority
183.66998,40.04532,charles,commute,minority
181.34814,43.988068,charles,commute,minority
181.61003,43.06006,charles,commute,minority
183.0283,40.003815,charles,commute,minority
182.05739,42.229126,charles,commute,minority
185.36507,42.262726,charles,commute,minority
182.3234,43.07483,charles,commute,minority
185.70728,41.23181,charles,commute,minority
182.35576,42.04883,charles,commute,minority
181.63866,44.339447,charles,commute,minority
183.9118,40.886353,charles,commute,minority
183.79248,39.684296,charles,commute,minority
188.60242,40.857574,charles,commute,minority
184.03937,40.668243,charles,commute,minority
189.95555,36.353516,charles,commute,minority
161.653,45.965576,charles,commute,minority
161.61908,47.686096,charles,commute,minority
157.52411,55.473114,charles,commute,minority
155.98894,59.31125,charles,commute,minority
127.03634,86.86511,zoned,commute,charles
126.06669,89.07788,zoned,commute,charles
125.52991,59.412994,zoned,commute,charles
126.22241,57.99936,zoned,commute,charles
125.67887,58.332275,zoned,commute,charles
131.13054,46.222504,zoned,commute,charles
129.815,48.61963,zoned,commute,charles
129.81638,48.650513,zoned,commute,charles
138.14502,29.867157,zoned,commute,charles
139.68106,26.087402,zoned,commute,charles
134.26605,38.433014,zoned,commute,charles
134.22803,54.731476,zoned,commute,charles
136.88933,48.70117,zoned,commute,charles
130.21265,63.793884,zoned,commute,charles
130.32222,63.569824,zoned,commute,charles
256.31763,122.450134,industrial,charles,age
109.6717,87.49722,zoned,commute,charles
162.69324,98.750885,zoned,commute,minority
128.40121,91.04901,zoned,commute,charles
154.85956,70.75293,charles,commute,minority
157.36691,64.46582,charles,commute,minority
160.45683,57.538513,charles,commute,minority
165.52988,47.294464,charles,commute,minority
160.4836,57.269196,charles,commute,minority
156.84673,65.788055,charles,commute,minority
121.26869,43.163513,zoned,commute,charles
174.61072,107.97897,zoned,commute,minority
176.76823,103.05966,zoned,commute,minority
190.52998,81.33917,zoned,commute,minority
192.96397,75.71988,zoned,commute,minority
192.29341,77.22626,zoned,commute,minority
167.80554,72.78302,charles,commute,minority
169.88924,68.58411,charles,commute,minority
167.60385,72.63376,charles,commute,minority
168.09245,72.681885,charles,commute,minority
220.82864,92.57953,zoned,commute,minority
227.46028,78.31247,industrial,charles,age
232.54523,67.428406,industrial,charles,age
227.42413,78.08896,industrial,charles,age
228.70271,75.22012,industrial,charles,age
225.52333,81.69592,industrial,charles,age
153.41298,68.84979,charles,commute,minority
159.19203,55.664825,charles,commute,minority
153.24207,69.25656,charles,commute,minority
155.80493,63.888184,charles,commute,minority
140.04,46.582672,zoned,commute,charles
141.45891,43.670746,zoned,commute,charles
139.70717,47.450348,zoned,commute,charles
141.46577,43.424652,zoned,commute,charles
159.10167,37.95807,charles,commute,minority
155.5792,46.142242,charles,commute,minority
156.30174,44.8291,charles,commute,minority
157.42021,42.132812,charles,commute,minority
149.95374,60.109406,charles,commute,minority
146.04892,68.97427,zoned,commute,charles
153.55292,51.682617,charles,commute,minority
160.1638,48.017303,charles,commute,minority
160.36191,44.755035,charles,commute,minority
160.94548,42.91925,charles,commute,minority
158.90901,47.62732,charles,commute,minority
224.1507,63.464325,industrial,charles,age
222.75081,66.604675,industrial,charles,age
241.39748,51.00952,industrial,charles,age
225.4005,60.645935,industrial,charles,age
225.87001,59.70108,industrial,charles,age
226.91676,57.208893,industrial,charles,age
226.1395,58.882904,industrial,charles,age
225.42133,61.166748,industrial,charles,age
226.83151,57.27124,industrial,charles,age
226.19186,59.112244,industrial,charles,age
220.36414,72.32321,industrial,charles,age
252.0939,72.80246,industrial,charles,age
253.98822,68.54407,industrial,charles,age
254.29047,67.69382,industrial,charles,age
252.84937,71.63745,industrial,charles,age
255.78511,68.61304,industrial,charles,age
250.84775,75.882904,industrial,charles,age
252.3058,72.40875,industrial,charles,age
253.77185,73.774475,industrial,charles,age
249.8475,78.3526,industrial,charles,age
110.05214,25.489136,zoned,commute,charles
112.845795,20.019531,zoned,commute,charles
114.25192,16.776611,zoned,commute,charles
115.425934,14.791016,zoned,commute,charles
114.6265,15.801636,zoned,commute,charles
113.148056,18.707703,zoned,commute,charles
115.80657,14.856384,zoned,commute,charles
257.61774,67.95941,industrial,charles,age
257.76947,67.19058,industrial,charles,age
257.1989,68.53497,industrial,charles,age
257.82138,67.20688,industrial,charles,age
257.53735,67.70587,industrial,charles,age
258.10657,67.32114,industrial,charles,age
257.65094,68.15988,industrial,charles,age
264.52582,62.941406,industrial,charles,age
257.81995,67.27991,industrial,charles,age
257.92667,68.4133,industrial,charles,age
257.83435,67.27191,industrial,charles,age
258.04242,67.021484,industrial,charles,age
257.694,67.39044,industrial,charles,age
257.5915,68.416595,industrial,charles,age
258.34027,66.04291,industrial,charles,age
238.563,59.370422,industrial,charles,age
238.5563,59.386078,industrial,charles,age
238.27296,60.06024,industrial,charles,age
249.90076,52.109802,industrial,charles,age
249.86246,52.408936,industrial,charles,age
238.21526,60.63208,industrial,charles,age
239.65302,60.231506,industrial,charles,age
239.94576,59.93036,industrial,charles,age
239.10568,60.036102,industrial,charles,age
241.08263,58.10144,industrial,charles,age
239.1282,62.450195,industrial,charles,age
244.92896,55.967407,industrial,charles,age
241.54192,58.79059,industrial,charles,age
251.2621,56.012085,industrial,charles,age
253.00536,51.954346,industrial,charles,age
239.4014,60.061096,industrial,charles,age
240.32256,58.75879,industrial,charles,age
239.81454,59.059967,industrial,charles,age
239.92172,60.932434,industrial,charles,age
237.77238,62.86316,industrial,charles,age
238.14717,60.72522,industrial,charles,age
237.56981,62.164185,industrial,charles,age
237.07953,62.81552,industrial,charles,age
245.06235,57.45044,industrial,charles,age
238.90181,60.71237,industrial,charles,age
243.61685,61.85437,industrial,charles,age
242.6865,58.13971,industrial,charles,age
240.88606,59.518127,industrial,charles,age
242.76047,58.403748,industrial,charles,age
240.30843,59.33481,industrial,charles,age
174.66472,42.179382,charles,commute,minority
173.94455,43.90558,charles,commute,minority
171.7027,49.266174,charles,commute,minority
166.25153,61.97711,charles,commute,minority
168.39896,56.888214,charles,commute,minority
172.23453,47.819275,charles,commute,minority
172.62157,47.29196,charles,commute,minority
110.39201,31.868713,zoned,commute,charles
114.33967,22.909698,zoned,commute,charles
111.067055,30.351257,zoned,commute,charles
115.72823,19.809998,zoned,commute,charles
116.1278,18.66626,zoned,commute,charles
115.69944,20.224487,zoned,commute,charles
112.64639,27.57779,zoned,commute,charles
109.85409,33.464355,zoned,commute,charles
219.10588,98.26831,zoned,commute,minority
217.7707,102.26221,zoned,commute,minority
218.58301,99.21472,zoned,commute,minority
216.8602,104.81946,zoned,commute,minority
217.67482,101.92822,zoned,commute,minority
216.90633,103.615814,zoned,commute,minority
135.16156,87.79553,zoned,commute,charles
137.36063,84.128296,zoned,commute,charles
129.57135,85.9725,zoned,commute,charles
172.44226,100.68759,zoned,commute,minority
175.07011,98.25836,zoned,commute,minority
173.37648,98.95361,zoned,commute,minority
209.32034,128.40826,zoned,commute,minority
209.73944,128.50183,zoned,commute,minority
183.91035,103.814575,zoned,commute,minority
180.24893,112.07095,zoned,commute,minority
109.63196,84.891754,zoned,commute,charles
109.525894,85.315186,zoned,commute,charles
153.4938,61.650726,charles,commute,minority
158.24101,50.894165,charles,commute,minority
161.76527,43.29828,charles,commute,minority
160.01553,47.97769,charles,commute,minority
165.69151,33.666718,charles,commute,minority
164.54338,36.56549,charles,commute,minority
164.0406,37.61331,charles,commute,minority
158.74559,50.098694,charles,commute,minority
155.56233,57.806183,charles,commute,minority
154.37083,63.825653,charles,commute,minority
156.72295,54.476837,charles,commute,minority
158.40742,49.158752,charles,commute,minority
162.80582,39.00107,charles,commute,minority
164.10419,35.730377,charles,commute,minority
163.89725,36.413147,charles,commute,minority
181.22473,44.391235,charles,commute,minority
181.7104,43.08075,charles,commute,minority
179.6321,48.176727,charles,commute,minority
179.73389,47.37555,charles,commute,minority
179.87871,48.00058,charles,commute,minority
180.76549,46.218964,charles,commute,minority
181.00067,45.2164,charles,commute,minority
180.82443,46.939087,charles,commute,minority
170.82347,69.493225,charles,commute,minority
171.35611,68.0296,charles,commute,minority
178.79668,51.135162,charles,commute,minority
180.13245,48.186523,charles,commute,minority
179.02731,49.886047,charles,commute,minority
178.9632,50.629364,charles,commute,minority
179.39517,51.24994,charles,commute,minority
177.84642,53.45047,charles,commute,minority
179.53226,48.576904,charles,commute,minority
178.59981,50.545532,charles,commute,minority
162.19868,79.51053,zoned,commute,minority
165.6435,71.21835,charles,commute,minority
167.2057,67.02835,charles,commute,minority
168.71819,63.272064,charles,commute,minority
167.91856,66.950745,charles,commute,minority
160.7618,83.214966,zoned,commute,minority
190.16808,61.559326,charles,commute,minority
188.47636,64.107056,charles,commute,minority
182.80704,76.99466,zoned,commute,minority
190.35052,60.811646,charles,commute,minority
185.7811,71.44635,zoned,commute,minority
179.89891,83.36557,zoned,commute,minority
179.06815,85.05463,zoned,commute,minority
179.36275,85.97241,zoned,commute,minority
178.57178,87.05109,zoned,commute,minority
178.27045,86.834045,zoned,commute,minority
164.30032,98.26111,zoned,commute,minority
162.25381,102.805084,zoned,commute,minority
122.4138,86.524536,zoned,commute,charles
152.9859,44.166626,charles,commute,minority
155.37976,39.21991,charles,commute,minority
154.92528,39.53427,charles,commute,minority
152.13367,45.913513,charles,commute,minority
153.47966,43.165955,charles,commute,minority
153.8499,42.42874,charles,commute,minority
154.0897,41.371246,charles,commute,minority
153.8609,42.33377,charles,commute,minority
149.25201,52.592987,charles,commute,minority
153.10988,44.446106,charles,commute,minority
150.2282,50.979584,charles,commute,minority
147.63493,56.436615,charles,commute,minority
125.52028,44.313843,zoned,commute,charles
122.65634,51.137238,zoned,commute,charles
118.14207,60.78253,zoned,commute,charles
124.787926,45.644073,zoned,commute,charles
123.911095,48.008606,zoned,commute,charles
135.37537,69.39429,zoned,commute,charles
136.88606,65.9133,zoned,commute,charles
138.28365,63.36966,zoned,commute,charles
134.74185,71.15802,zoned,commute,charles
135.32518,69.54358,zoned,commute,charles
116.49818,53.879333,zoned,commute,charles
121.92418,42.185608,zoned,commute,charles
117.49018,51.998108,zoned,commute,charles
120.147194,47.13858,zoned,commute,charles
93.924706,80.69568,zoned,commute,charles
143.63643,99.954254,zoned,commute,minority
159.50208,85.266754,zoned,commute,minority
124.24295,81.21396,zoned,commute,charles
155.71965,82.99707,zoned,commute,minority
157.92844,77.914246,charles,commute,minority
155.74693,85.07239,zoned,commute,minority
123.09999,85.22534,zoned,commute,charles
123.073494,85.287964,zoned,commute,charles
122.43536,86.76825,zoned,commute,charles
159.78993,65.57001,charles,commute,minority
163.50285,57.035492,charles,commute,minority
161.69395,61.169617,charles,commute,minority
164.98218,53.94757,charles,commute,minority
166.02141,51.292786,charles,commute,minority
190.095,106.694885,zoned,commute,minority
188.36688,110.39038,zoned,commute,minority
193.1722,97.71399,zoned,commute,minority
180.92824,79.71527,zoned,commute,minority
178.1414,87.14749,zoned,commute,minority
177.61247,87.757904,zoned,commute,minority
119.50081,56.936035,zoned,commute,charles
122.17699,50.81076,zoned,commute,charles
124.072556,46.121643,zoned,commute,charles
123.84776,46.650513,zoned,commute,charles
178.19873,46.174927,charles,commute,minority
177.44994,48.000305,charles,commute,minority
173.84462,60.17935,charles,commute,minority
173.66454,56.62317,charles,commute,minority
179.59062,43.07715,charles,commute,minority
178.48952,45.829163,charles,commute,minority
179.09055,44.267212,charles,commute,minority
177.61984,47.61731,charles,commute,minority
178.89044,45.232056,charles,commute,minority
176.76025,49.595886,charles,commute,minority
176.04514,51.329926,charles,commute,minority
174.74612,54.26239,charles,commute,minority
163.77876,53.33661,charles,commute,minority
164.07997,52.64023,charles,commute,minority
163.41937,54.171906,charles,commute,minority
167.5452,45.191376,charles,commute,minority
161.87984,57.70291,charles,commute,minority
158.10979,66.65466,charles,commute,minority
160.15314,61.687897,charles,commute,minority
162.56212,56.19809,charles,commute,minority
242.91203,92.03784,industrial,charles,age
241.90154,94.94943,industrial,charles,age
244.57541,89.373474,industrial,charles,age
164.58084,79.07761,zoned,commute,minority
165.31018,80.03003,zoned,commute,minority
125.555305,45.21823,zoned,commute,charles
125.65378,45.026825,zoned,commute,charles
124.68787,46.62619,zoned,commute,charles
126.54377,42.35919,zoned,commute,charles
128.70795,37.562103,zoned,commute,charles
125.17447,45.56006,zoned,commute,charles
126.4067,42.66922,zoned,commute,charles
128.41296,38.045135,zoned,commute,charles
156.03343,67.96576,charles,commute,minority
243.0514,78.76248,industrial,charles,age
203.5865,91.09732,zoned,commute,minority
199.62842,100.94971,zoned,commute,minority
201.24731,67.90668,zoned,commute,minority
202.93773,65.80179,zoned,commute,minority
183.67905,109.16809,zoned,commute,minority
143.86678,91.76233,zoned,commute,minority
182.63339,85.63312,zoned,commute,minority
183.80249,82.34946,zoned,commute,minority
224.51942,108.27844,zoned,commute,minority
220.80023,115.05176,zoned,commute,minority
89.92014,74.07904,zoned,commute,charles
174.25812,105.42386,zoned,commute,minority
174.18102,106.14819,zoned,commute,minority
390.85013,114.49939,crime,roads,industrial
389.07593,117.39307,crime,roads,industrial
387.66687,120.28519,crime,roads,industrial
387.60364,120.83136,crime,roads,industrial
389.35526,118.11655,crime,roads,industrial
391.16797,116.0047,crime,roads,industrial
390.35156,115.31366,crime,roads,industrial
390.7372,116.79617,crime,roads,industrial
389.5302,119.36014,crime,roads,industrial
390.34045,117.50723,crime,roads,industrial
392.96536,114.77182,crime,roads,industrial
403.63425,105.75177,crime,roads,industrial
391.07312,114.03003,crime,roads,industrial
390.5991,115.14032,crime,roads,industrial
389.84894,115.4545,crime,roads,industrial
391.68152,113.47891,crime,roads,industrial
390.9907,116.598175,crime,roads,industrial
390.636,113.52649,crime,roads,industrial
390.71942,113.38281,crime,roads,industrial
389.90518,115.04416,crime,roads,industrial
391.09518,115.22888,crime,roads,industrial
390.17502,114.46591,crime,roads,industrial
389.8586,115.25369,crime,roads,industrial
390.55078,113.89392,crime,roads,industrial
389.22964,116.81909,crime,roads,industrial
390.2324,114.35092,crime,roads,industrial
390.4054,113.959015,crime,roads,industrial
390.42188,113.92575,crime,roads,industrial
390.27692,114.336426,crime,roads,industrial
390.53836,113.73419,crime,roads,industrial
388.99167,117.32349,crime,roads,industrial
391.7709,112.90753,crime,roads,industrial
390.17816,114.45773,crime,roads,industrial
389.9316,115.1994,crime,roads,industrial
388.53903,119.76874,crime,roads,industrial
389.99078,114.94147,crime,roads,industrial
389.09564,116.90195,crime,roads,industrial
389.4544,116.099,crime,roads,industrial
390.33707,114.47275,crime,roads,industrial
389.69577,115.54724,crime,roads,industrial
390.35062,114.36911,crime,roads,industrial
390.61777,113.60742,crime,roads,industrial
390.08823,119.686646,crime,roads,industrial
390.50723,113.79358,crime,roads,industrial
390.35156,114.06647,crime,roads,industrial
391.39023,113.41168,crime,roads,industrial
389.75223,115.47339,crime,roads,industrial
391.72397,116.71503,crime,roads,industrial
391.143,113.41293,crime,roads,industrial
391.78214,113.05914,crime,roads,industrial
393.46188,112.27649,crime,roads,industrial
394.29236,111.94556,crime,roads,industrial
401.33746,107.06061,crime,roads,industrial
410.17322,101.5975,crime,roads,industrial
408.65964,102.35062,crime,roads,industrial
409.2524,101.643036,crime,roads,industrial
399.78268,108.02707,crime,roads,industrial
406.36426,103.38632,crime,roads,industrial
409.21814,101.803345,crime,roads,industrial
408.00668,105.02258,crime,roads,industrial
402.45544,108.955505,crime,roads,industrial
409.73517,101.59616,crime,roads,industrial
404.3901,111.06592,crime,roads,industrial
394.1867,111.75757,crime,roads,industrial
393.40543,113.44928,crime,roads,industrial
393.63867,115.30478,crime,roads,industrial
408.03333,106.535645,crime,roads,industrial
405.62857,111.93152,crime,roads,industrial
409.4018,102.98218,crime,roads,industrial
402.86972,116.51361,crime,roads,industrial
406.12747,109.556915,crime,roads,industrial
402.16043,112.1196,crime,roads,industrial
406.72803,104.65753,crime,roads,industrial
403.98694,109.000885,crime,roads,industrial
405.39923,105.94827,crime,roads,industrial
401.3979,113.69083,crime,roads,industrial
403.38034,108.97238,crime,roads,industrial
404.4511,106.481964,crime,roads,industrial
404.0778,106.62695,crime,roads,industrial
407.9463,104.60889,crime,roads,industrial
410.06543,101.331604,crime,roads,industrial
405.3377,107.263855,crime,roads,industrial
389.45157,116.1525,crime,roads,industrial
389.5119,116.49933,crime,roads,industrial
390.44345,114.76184,crime,roads,industrial
390.3146,114.20343,crime,roads,industrial
390.82294,113.81674,crime,roads,industrial
397.7974,110.10547,crime,roads,industrial
407.49875,104.37103,crime,roads,industrial
393.71222,112.92636,crime,roads,industrial
390.1603,115.17413,crime,roads,industrial
390.09158,114.64139,crime,roads,industrial
394.7345,111.75064,crime,roads,industrial
409.17816,104.03497,crime,roads,industrial
392.09906,113.50513,crime,roads,industrial
389.59863,116.75244,crime,roads,industrial
391.21356,113.8118,crime,roads,industrial
409.1186,103.657715,crime,roads,industrial
405.69052,107.81256,crime,roads,industrial
407.96725,105.98157,crime,roads,industrial
407.1173,108.51987,crime,roads,industrial
394.04178,116.01907,crime,roads,industrial
387.8145,119.85437,crime,roads,industrial
395.86627,113.236725,crime,roads,industrial
388.6981,118.268616,crime,roads,industrial
387.5842,120.37796,crime,roads,industrial
388.72488,117.97623,crime,roads,industrial
384.8631,126.64383,crime,roads,industrial
385.38297,130.70184,crime,roads,industrial
406.85107,107.56702,crime,roads,industrial
392.8117,113.914856,crime,roads,industrial
387.26562,123.54291,crime,roads,industrial
383.57004,129.6482,crime,roads,industrial
387.77634,119.953186,crime,roads,industrial
388.81696,117.658844,crime,roads,industrial
386.53046,123.09839,crime,roads,industrial
386.28732,125.20462,crime,roads,industrial
391.82126,114.386505,crime,roads,industrial
394.76205,111.84848,crime,roads,industrial
389.34103,116.42078,crime,roads,industrial
392.4246,113.33154,crime,roads,industrial
390.6542,114.79321,crime,roads,industrial
389.0465,118.156555,crime,roads,industrial
384.698,127.0025,crime,roads,industrial
386.4005,123.37555,crime,roads,industrial
386.5964,122.732574,crime,roads,industrial
381.12827,135.55615,crime,roads,industrial
382.55533,134.156,crime,roads,industrial
383.13522,131.29736,crime,roads,industrial
387.31763,121.362885,crime,roads,industrial
383.38162,130.76508,crime,roads,industrial
415.07776,125.94031,crime,roads,industrial
418.63736,122.08722,crime,roads,industrial
420.0,121.15549,crime,roads,industrial
416.2669,123.62042,crime,roads,industrial
413.4746,129.44147,crime,roads,industrial
224.17183,74.025024,industrial,charles,age
222.44952,78.00488,industrial,charles,age
220.5864,82.63916,industrial,charles,age
227.25891,67.00067,industrial,charles,age
226.7638,68.08017,industrial,charles,age
225.92772,69.989136,industrial,charles,age
227.29019,66.966034,industrial,charles,age
228.17029,64.83789,industrial,charles,age
158.60223,44.052063,charles,commute,minority
159.51328,41.534393,charles,commute,minority
161.64415,36.59439,charles,commute,minority
161.57271,37.05951,charles,commute,minority
160.11885,40.13214,charles,commute,minority
